id,tag_type,tag_id,tag_position,timestamp,timestamp_h
181,00E2004703E4C0,6426FAB20112,B8FC,1726923082863,2024-09-21T12:51:22.862Z
182,CCFFFF20051000,3400E2004703E4C06426FAB20112,B6FE,1726923083541,2024-09-21T12:51:23.540Z
183,CCFFFF20051000,3400E2004703E4C06426FAB20112,B6FE,1726923083709,2024-09-21T12:51:23.708Z
184,CCFFFF20051000,3400E2004703E4C06426FAB20112,B6FE,1726923084412,2024-09-21T12:51:24.411Z
185,CCFFFF20051000,3400E2004703E4C06426FAB20112,B9FB,1726923085036,2024-09-21T12:51:25.035Z
186,CCFFFF20051000,3400E2004703E4C06426FAB20112,B5FF,1726923085579,2024-09-21T12:51:25.578Z
187,CC,CC,CC,1726923087800,2024-09-21T12:51:27.799Z
188,FFFF2005100034,00E2004703E4C06426FAB20112,B9FB,1726923087815,2024-09-21T12:51:27.814Z
189,CCFFFF20051000,3400E2004703E4C06426FAB20112,BCF8,1726923088343,2024-09-21T12:51:28.342Z
190,CC,CC,CC,1726923088871,2024-09-21T12:51:28.870Z
191,FFFF2005100034,00E2004703E4C06426FAB20112,B7FD,1726923088886,2024-09-21T12:51:28.885Z
192,CCFFFF20051000,3400E2004703E4C06426FAB20112,BAFA,1726923089349,2024-09-21T12:51:29.348Z
193,CCFFFF20051000,3400E2004703E4C06426FAB20112,B9FB,1726923089878,2024-09-21T12:51:29.877Z
194,CCFFFF20051000,3400E2004703E4C06426FAB20112,B8FC,1726923090468,2024-09-21T12:51:30.467Z
195,CCFFFF20051000,3400E2004703E4C06426FAB20112,B8FC,1726923091011,2024-09-21T12:51:31.011Z
196,CCFFFF200510,0510,0510,1726923091539,2024-09-21T12:51:31.538Z
197,003400E2004703,E4C06426FAB20112,BBF9,1726923091555,2024-09-21T12:51:31.554Z
198,CCFFFF20051000,3400E2004703E4C06426FAB20112,BBF9,1726923092018,2024-09-21T12:51:32.017Z
199,CCFFFF20051000,3400E2004703E4C06426FAB20112,B6FE,1726923093600,2024-09-21T12:51:33.600Z
200,CCFFFF20051000,3400E2004703E4C06426FAB20112,B9FB,1726923094096,2024-09-21T12:51:34.095Z
201,CCFFFF20051000,3400E2004703E4C06426FAB20112,B9FB,1726923094326,2024-09-21T12:51:34.325Z
202,CCFFFF20051000,3400E2004703E4C06426FAB20112,B8FC,1726923094831,2024-09-21T12:51:34.830Z
203,CCFFFF20051000,3400E2004703E4C0,6426,1726923103943,2024-09-21T12:51:43.942Z
204,FAB20112B6FE,B6FE,B6FE,1726923103959,2024-09-21T12:51:43.958Z
205,CCFFFF20051000,3400E2004703E4C06426FAB20112,B9FB,1726923109343,2024-09-21T12:51:49.342Z
206,CCFFFF20051000,3400E2004703E4C06426FAB20112,B7FD,1726923111816,2024-09-21T12:51:51.815Z
207,CC,CC,CC,1726923111963,2024-09-21T12:51:51.962Z
208,FFFF2005100034,00E2004703E4C06426FAB20112,BBF9,1726923111978,2024-09-21T12:51:51.977Z
209,CCFFFF20051000,3400E2004703E4C06426FAB20112,B8FC,1726923112902,2024-09-21T12:51:52.901Z
210,CCFFFF20051000,3400E2004703E4C06426FAB20112,BBF9,1726923113098,2024-09-21T12:51:53.097Z
211,CCFFFF20051000,3400E2004703E4C06426FAB20112,BCF8,1726923113720,2024-09-21T12:51:53.719Z
212,CCFFFF20051000,3400E2004703E4C06426FAB20112,B7FD,1726923114471,2024-09-21T12:51:54.470Z
213,CCFFFF20051000,3400E2004703E4C06426FAB20112,BCF8,1726923121645,2024-09-21T12:52:01.644Z
214,CCFFFF20051000,3400E2004703E4,C064,1726923122285,2024-09-21T12:52:02.284Z
215,26FAB20112BAFA,BAFA,BAFA,1726923122300,2024-09-21T12:52:02.300Z
216,CCFFFF20051000,3400E2004703E4C06426FAB20112,BAFA,1726923123241,2024-09-21T12:52:03.240Z
217,CCFFFF20051000,3400E2004703E4C06426FAB20112,B9FB,1726923123704,2024-09-21T12:52:03.703Z
218,CCFFFF20051000,3400E2004703E4C06426FAB20112,B6FE,1726923124502,2024-09-21T12:52:04.501Z
219,CCFFFF20051000,3400E2004703E4C06426FAB20112,BAFA,1726923125591,2024-09-21T12:52:05.590Z
220,CCFFFF20051000,3400E2004703E4C06426FAB20112,B6FE,1726923125620,2024-09-21T12:52:05.619Z
221,CCFFFF20051000,3400E2004703E4C064,26FA,1726923126419,2024-09-21T12:52:06.418Z
222,B20112B7FD,B7FD,B7FD,1726923126436,2024-09-21T12:52:06.435Z
223,CCFFFF20051000,00,0034,1726923127059,2024-09-21T12:52:07.058Z
224,00E2004703E4C0,6426FAB20112,BDF7,1726923127075,2024-09-21T12:52:07.074Z
225,CCFFFF20051000,3400E2004703E4C064,26FA,1726923127253,2024-09-21T12:52:07.252Z
226,B20112B7FD,B7FD,B7FD,1726923127269,2024-09-21T12:52:07.269Z
227,CCFFFF20051000,3400E2004703E4C06426FAB20112,B9FB,1726923127970,2024-09-21T12:52:07.969Z
228,CCFFFF20051000,34,00E2,1726923128707,2024-09-21T12:52:08.706Z
229,004703E4C06426,FAB20112,BCF8,1726923128724,2024-09-21T12:52:08.723Z
230,CCFFFF20051000,3400E2004703E4C064,26FA,1726923130865,2024-09-21T12:52:10.864Z
231,B20112BAFA,BAFA,BAFA,1726923130883,2024-09-21T12:52:10.882Z
232,CCFFFF20051000,3400E2004703E4C06426FAB20112,C0F4,1726923131521,2024-09-21T12:52:11.520Z
233,CCFFFF20051000,3400E2004703E4C06426FAB20112,C0F4,1726923131951,2024-09-21T12:52:11.950Z
234,CCFFFF20051000,3400E2004703E4C06426FAB20112,B5FF,1726923134492,2024-09-21T12:52:14.491Z
235,CCFFFF20051000,3400E2004703E4C06426FAB20112,B6FE,1726923134839,2024-09-21T12:52:14.838Z
236,CCFFFF20051000,3400E2004703E4C06426FAB20112,B7FD,1726923136022,2024-09-21T12:52:16.021Z
237,CCFFFF20051000,3400E2004703E4C06426FAB20112,B7FD,1726923138802,2024-09-21T12:52:18.801Z
238,CCFFFF20051000,3400E200,4703,1726923140655,2024-09-21T12:52:20.654Z
239,E4C06426FAB201,12,B7FD,1726923140671,2024-09-21T12:52:20.671Z
240,CCFFFF20051000,3400E20047049E3064260649010B,B33A,1726924301381,2024-09-21T13:11:41.380Z
